# TEST CONFIGURATION BEGIN
# DataStream(n_targets=-1, target_idx=1, cat_features=None, name=None)
# [HT] HoeffdingTree(binary_split=False, grace_period=200, leaf_prediction='nba', max_byte_size=33554432, memory_estimate_period=1000000, nb_threshold=0, no_preprune=False, nominal_attributes=None, remove_poor_atts=None, split_confidence=1e-07, split_criterion='info_gain', stop_mem_management=False, tie_threshold=0.05)
# [HAT] HAT(binary_split=False, grace_period=200, leaf_prediction='nba', max_byte_size=33554432, memory_estimate_period=1000000, nb_threshold=0, no_preprune=False, nominal_attributes=None, remove_poor_atts=False, split_confidence=1e-07, split_criterion='info_gain', stop_mem_management=False, tie_threshold=0.05)
# EvaluateHoldout(batch_size=100, dynamic_test_set=False, max_samples=100000, max_time=6000, metrics=['precision', 'recall', 'f1'], n_wait=100, output_file='HAT_houldout.csv', restart_stream=True, show_plot=False, test_size=2023)
# TEST CONFIGURATION END
id,mean_precision_[HT],current_precision_[HT],mean_precision_[HAT],current_precision_[HAT],mean_recall_[HT],current_recall_[HT],mean_recall_[HAT],current_recall_[HAT],mean_f1_[HT],current_f1_[HT],mean_f1_[HAT],current_f1_[HAT]
3823,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.939039,0.941176,1.000000,1.000000,0.968561,0.969697
3923,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.939679,0.950495,1.000000,1.000000,0.968902,0.974619
4023,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.940252,0.950495,1.000000,1.000000,0.969206,0.974619
4123,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.940767,0.950495,1.000000,1.000000,0.969479,0.974619
4223,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.941232,0.950495,1.000000,1.000000,0.969727,0.974619
4323,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.941655,0.950495,1.000000,1.000000,0.969951,0.974619
4423,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.941991,0.949495,1.000000,1.000000,0.970129,0.974093
4523,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.942324,0.950000,1.000000,1.000000,0.970305,0.974359
4623,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.943028,0.960000,1.000000,1.000000,0.970679,0.979592
4723,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.943635,0.959184,1.000000,1.000000,0.971000,0.979167
4823,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.944219,0.959596,1.000000,1.000000,0.971309,0.979381
4923,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.944405,0.949495,1.000000,1.000000,0.971408,0.974093
5023,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.945267,0.969697,1.000000,1.000000,0.971863,0.984615
5123,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.945757,0.960000,1.000000,1.000000,0.972122,0.979592
5223,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.946216,0.960000,1.000000,1.000000,0.972365,0.979592
5323,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.946646,0.960000,1.000000,1.000000,0.972592,0.979592
5423,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.947066,0.960396,1.000000,1.000000,0.972813,0.979798
5523,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.947770,0.970588,1.000000,1.000000,0.973185,0.985075
5623,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.948433,0.970588,1.000000,1.000000,0.973534,0.985075
5723,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.948796,0.961165,1.000000,1.000000,0.973725,0.980198
5823,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.949139,0.961165,1.000000,1.000000,0.973906,0.980198
5923,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.949463,0.961165,1.000000,1.000000,0.974077,0.980198
6023,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.949528,0.951923,1.000000,1.000000,0.974111,0.975369
6123,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.949329,0.941748,1.000000,1.000000,0.974006,0.970000
6223,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.948923,0.933333,1.000000,1.000000,0.973792,0.965517
6323,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.948524,0.932692,1.000000,1.000000,0.973582,0.965174
6423,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.948145,0.932692,1.000000,1.000000,0.973382,0.965174
6523,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.947783,0.932692,1.000000,1.000000,0.973192,0.965174
6623,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.947646,0.941748,1.000000,1.000000,0.973119,0.970000
6723,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.947516,0.941748,1.000000,1.000000,0.973051,0.970000
6823,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.947590,0.950980,1.000000,1.000000,0.973090,0.974874
6923,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.947466,0.941748,1.000000,1.000000,0.973024,0.970000
7023,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.947538,0.950980,1.000000,1.000000,0.973063,0.974874
7123,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.947795,0.960396,1.000000,1.000000,0.973198,0.979798
7223,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.948042,0.960396,1.000000,1.000000,0.973328,0.979798
7323,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.948279,0.960396,1.000000,1.000000,0.973453,0.979798
7423,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.948331,0.950980,1.000000,1.000000,0.973480,0.974874
7523,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.948727,0.970000,1.000000,1.000000,0.973689,0.984772
7623,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.949110,0.970000,1.000000,1.000000,0.973891,0.984772
7723,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.949479,0.970000,1.000000,1.000000,0.974085,0.984772
7823,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.950000,0.979798,1.000000,1.000000,0.974359,0.989796
7923,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.950341,0.970000,1.000000,1.000000,0.974538,0.984772
8023,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.950671,0.970000,1.000000,1.000000,0.974712,0.984772
8123,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.950990,0.970000,1.000000,1.000000,0.974879,0.984772
8223,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.951144,0.960396,1.000000,1.000000,0.974960,0.979798
8323,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.951294,0.960396,1.000000,1.000000,0.975039,0.979798
8423,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.951588,0.970000,1.000000,1.000000,0.975193,0.984772
8523,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.951872,0.970000,1.000000,1.000000,0.975343,0.984772
8623,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.952294,0.979798,1.000000,1.000000,0.975564,0.989796
8723,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.952560,0.970000,1.000000,1.000000,0.975704,0.984772
8823,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.952818,0.970000,1.000000,1.000000,0.975839,0.984772
8923,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.953214,0.980000,1.000000,1.000000,0.976047,0.989899
9023,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.953599,0.980000,1.000000,1.000000,0.976248,0.989899
9123,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.953837,0.970297,1.000000,1.000000,0.976373,0.984925
9223,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.954070,0.970297,1.000000,1.000000,0.976495,0.984925
9323,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.954295,0.970297,1.000000,1.000000,0.976613,0.984925
9423,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.954385,0.960784,1.000000,1.000000,0.976660,0.980000
9523,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.954345,0.951456,1.000000,1.000000,0.976639,0.975124
9623,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.954305,0.951456,1.000000,1.000000,0.976618,0.975124
9723,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.954273,0.951923,1.000000,1.000000,0.976602,0.975369
9823,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.954358,0.960784,1.000000,1.000000,0.976646,0.980000
9923,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.954442,0.960784,1.000000,1.000000,0.976690,0.980000
10023,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.954523,0.960784,1.000000,1.000000,0.976732,0.980000
10123,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.954602,0.960784,1.000000,1.000000,0.976774,0.980000
10223,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.954684,0.961165,1.000000,1.000000,0.976817,0.980198
10323,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.954880,0.970588,1.000000,1.000000,0.976919,0.985075
10423,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.954957,0.961165,1.000000,1.000000,0.976960,0.980198
10523,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.955145,0.970588,1.000000,1.000000,0.977058,0.985075
10623,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.955328,0.970588,1.000000,1.000000,0.977154,0.985075
10723,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.955507,0.970588,1.000000,1.000000,0.977247,0.985075
10823,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.955682,0.970588,1.000000,1.000000,0.977339,0.985075
10923,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.955853,0.970588,1.000000,1.000000,0.977428,0.985075
11023,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.956020,0.970588,1.000000,1.000000,0.977515,0.985075
11123,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.956183,0.970588,1.000000,1.000000,0.977601,0.985075
11223,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.956238,0.961165,1.000000,1.000000,0.977630,0.980198
11323,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.956293,0.961165,1.000000,1.000000,0.977658,0.980198
11423,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.956346,0.961165,1.000000,1.000000,0.977686,0.980198
11523,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.956398,0.961165,1.000000,1.000000,0.977713,0.980198
11623,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.956449,0.961165,1.000000,1.000000,0.977740,0.980198
