# TEST CONFIGURATION BEGIN
# DataStream(n_targets=-1, target_idx=1, cat_features=None, name=None)
# [HAT] HAT(binary_split=False, grace_period=200, leaf_prediction='nba', max_byte_size=33554432, memory_estimate_period=1000000, nb_threshold=0, no_preprune=False, nominal_attributes=None, remove_poor_atts=False, split_confidence=1e-07, split_criterion='info_gain', stop_mem_management=False, tie_threshold=0.05)
# EvaluatePrequential(batch_size=100, data_points_for_classification=False, max_samples=100000, max_time=inf, metrics=['precision', 'recall', 'f1'], n_wait=100, output_file='HAT_prequential.csv', pretrain_size=100, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_precision_[HAT],current_precision_[HAT],mean_recall_[HAT],current_recall_[HAT],mean_f1_[HAT],current_f1_[HAT]
12100,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
12200,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
12300,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
12400,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
12500,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
12600,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
12700,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
12800,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
12900,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
13000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
13100,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
13200,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
13300,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
13400,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
13500,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
13600,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
13700,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
13800,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
13900,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
14000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
14100,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
14200,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
14300,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
14400,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
14500,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
14600,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
14700,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
14800,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
14900,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
15000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
15100,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
15200,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
15300,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
15400,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
15500,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
15600,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
15700,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
15800,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
15900,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
16000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
16100,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
16200,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
16300,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
16400,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
16500,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
16600,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
16700,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
16800,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
16900,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
17000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
17100,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
17200,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
17300,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
17400,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
17500,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
17600,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
17700,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
17800,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
17900,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
18000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
18100,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
18200,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
18300,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
18400,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
18500,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
18600,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
18700,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
18800,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000
18900,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
19000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
19100,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
19200,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
19300,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
19400,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
19500,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
19600,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
19700,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
19800,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
19900,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
20000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
20100,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
20200,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
